Key,English,Hindi,Marathi,Arabic
FM_Q9_Title,Shoulder Adduction / Internal Rotation,कंधे का एडक्शन / आंतरिक रोटेशन,खांद्याचे अॅडक्शन / अंतर्गत रोटेशन,تقريب الكتف / الدوران الداخلي
FM_Q9_Instruction,Extensor synergy: Hand from ipsilateral ear to contralateral knee.,एक्सटेंसर सिनर्जी: हाथ को एक ही तरफ के कान से दूसरी तरफ के घुटने तक ले जाना।,विस्तारक समन्वय: हात त्याच बाजूच्या कानापासून विरुद्ध बाजूच्या गुडघ्यापर्यंत.,التآزر الباسط: اليد من الأذن على نفس الجانب إلى الركبة على الجانب المقابل.
FM_Q9_A0,None,कोई नहीं,काहीही नाही,لا أحد
FM_Q9_A1,Partial,आंशिक,आंशिक,جزئي
FM_Q9_A2,Full,भरा हुआ,पूर्ण,ممتلىء
FM_Q10_Title,Elbow Extension,कोहनी का विस्तार,कोपर विस्तार,تمديد الكوع
FM_Q10_Instruction,Extensor synergy: Hand from ipsilateral ear to contralateral knee.,एक्सटेंसर सिनर्जी: हाथ को एक ही तरफ के कान से दूसरी तरफ के घुटने तक ले जाना।,विस्तारक समन्वय: हात त्याच बाजूच्या कानापासून विरुद्ध बाजूच्या गुडघ्यापर्यंत.,التآزر الباسط: اليد من الأذن على نفس الجانب إلى الركبة على الجانب المقابل.
FM_Q10_A0,None,कोई नहीं,काहीही नाही,لا أحد
FM_Q10_A1,Partial,आंशिक,आंशिक,جزئي
FM_Q10_A2,Full,भरा हुआ,पूर्ण,ممتلىء
FM_Q11_Title,Forearm Pronation,अग्रबाहु प्रोनेशन,मनगटाचे प्रोनेशन,استلقاء الساعد
FM_Q11_Instruction,Extensor synergy: Hand from ipsilateral ear to contralateral knee.,एक्सटेंसर सिनर्जी: हाथ को एक ही तरफ के कान से दूसरी तरफ के घुटने तक ले जाना।,विस्तारक समन्वय: हात त्याच बाजूच्या कानापासून विरुद्ध बाजूच्या गुडघ्यापर्यंत.,التآزر الباسط: اليد من الأذن على نفس الجانب إلى الركبة على الجانب المقابل.
FM_Q11_A0,None,कोई नहीं,काहीही नाही,لا أحد
FM_Q11_A1,Partial,आंशिक,आंशिक,جزئي
FM_Q11_A2,Full,भरा हुआ,पूर्ण,ممتلىء
FM_Q12_Title,Hand to Lumbar Spine,हाथ से कमर की रीढ़ तक,हात कमरेच्या मणक्याला,اليد إلى العمود الفقري القطني
FM_Q12_Instruction,Hand on lap. Score the furthest position achieved without compensation.,हाथ गोद में रखें। बिना किसी मुआवजे के हासिल की गई सबसे दूर की स्थिति का स्कोर दर्ज करें।,हात मांडीवर ठेवा. कोणताही मोबदला न देता गाठलेल्या सर्वात दूरच्या स्थानाला गुण द्या.,ضع يدك على فخذك. سجل أبعد مركز تم تحقيقه دون تعويض.
FM_Q12_A0,Cannot perform,प्रदर्शन नहीं किया जा सकता,कामगिरी करू शकत नाही,لا يمكن الأداء
FM_Q12_A1,Hand behind ant-sup iliac spine (without compensation),अग्र-ऊपरी इलियाक स्पाइन के पीछे हाथ (बिना किसी क्षतिपूर्ति के),हात इलियक स्पाइनच्या मागे (कोणतीही भरपाई न करता),اليد خلف العمود الفقري الحرقفي الأمامي العلوي (بدون تعويض)
FM_Q12_A2,Hand to lumbar spine (without compensation),कमर की रीढ़ पर हाथ (बिना किसी क्षतिपूर्ति के),हात कमरेच्या मणक्याला (कोणताही आधार न देता) लावा,وضع اليد على العمود الفقري القطني (بدون تعويض)
FM_Q13_Title,Shoulder Flexion 0° - 90°,कंधे का झुकाव 0° - 90°,खांद्याचे वाकणे ०° - ९०°,ثني الكتف 0° - 90°
FM_Q13_Instruction,Elbow at 0°,कोहनी 0° पर,कोपर ०° वर,الكوع عند 0 درجة
FM_Q13_A0,Immediate abduction or elbow flexion,तत्काल अपहरण या कोहनी का फ्लेक्सन,तात्काळ अपहरण किंवा कोपर वाकवणे,التباعد الفوري أو ثني الكوع
FM_Q13_A1,Abduction or elbow flexion during movement,गति के दौरान अपहरण या कोहनी का मुड़ना,हालचालीदरम्यान अपहरण किंवा कोपर वाकवणे,تبعيد أو ثني الكوع أثناء الحركة
FM_Q13_A2,Flexion 90°,फ्लेक्सन 90°,९०° वाकणे,ثني 90 درجة
FM_Q14_Title,Pronation / Supination (Elbow 90°),प्रोनेशन / सुपिनेशन (कोहनी 90°),प्रोनेशन / सुपिनेशन (कोपर ९०°),الكب / الاستلقاء (الكوع 90 درجة)
FM_Q14_Instruction,Elbow at 90°,कोहनी 90° पर,कोपर ९०° वर,الكوع بزاوية 90 درجة
FM_Q14_A0,No pronation/supination,प्रोनेशन/सुपिनेशन नहीं,प्रोनेशन/सुपिनेशन नाही,لا يوجد انبطاح/استلقاء
FM_Q14_A1,Limited pronation/supination,सीमित प्रोनेशन/सुपिनेशन,मर्यादित प्रोनेशन/सुपिनेशन,محدودية الكب/الاستلقاء
FM_Q14_A2,Full pronation/supination,पूर्ण प्रोनेशन/सुपिनेशन,पूर्ण प्रोनेशन/सुपिनेशन,الكب/الاستلقاء الكامل
FM_Q15_Title,Shoulder Abduction 0° - 90°,कंधे का अपहरण 0° - 90°,खांद्याचे अपवर्तन ०° - ९०°,تبعيد الكتف 0° - 90°
FM_Q15_Instruction,Elbow at 0°,कोहनी 0° पर,कोपर ०° वर,الكوع عند 0 درجة
FM_Q15_A0,Immediate supination or elbow flexion,तुरंत सुपिनेशन या कोहनी फ्लेक्सन,तात्काळ सुपिनेशन किंवा कोपर फ्लेक्शन,الاستلقاء الفوري أو ثني الكوع
FM_Q15_A1,Supination or elbow flexion during movement,गति के दौरान कोहनी का सुपिनेशन या फ्लेक्सन,हालचालीदरम्यान सुपिनेशन किंवा कोपर वाकवणे,الاستلقاء أو ثني المرفق أثناء الحركة
FM_Q15_A2,Abduction 90°,अपहरण 90°,९०° अपहरण,تبعيد 90 درجة
FM_Q16_Title,Shoulder Flexion 90° - 180°,कंधे का झुकाव 90° - 180°,खांद्याचे वाकणे ९०° - १८०°,ثني الكتف 90° - 180°
FM_Q16_Instruction,Elbow at 0°,कोहनी 0° पर,कोपर ०° वर,الكوع عند 0 درجة
FM_Q16_A0,Immediate abduction or elbow flexion,तत्काल अपहरण या कोहनी का फ्लेक्सन,तात्काळ अपहरण किंवा कोपर वाकवणे,التباعد الفوري أو ثني الكوع
FM_Q16_A1,Abduction or elbow flexion during movement,गति के दौरान अपहरण या कोहनी का मुड़ना,हालचालीदरम्यान अपहरण किंवा कोपर वाकवणे,تبعيد أو ثني الكوع أثناء الحركة
FM_Q16_A2,Flexion 180°,180° फ्लेक्सन,१८०° वाकणे,ثني 180 درجة
FM_Q17_Title,Pronation / Supination (Elbow Extended),प्रोनेशन / सुपिनेशन (कोहनी फैली हुई),प्रोनेशन / सुपिनेशन (कोपर सरळ केलेले),الكب / الاستلقاء (مع مد الكوع)
FM_Q17_Instruction,Elbow at 0°,कोहनी 0° पर,कोपर ०° वर,الكوع عند 0 درجة
FM_Q17_A0,No pronation/supination,प्रोनेशन/सुपिनेशन नहीं,प्रोनेशन/सुपिनेशन नाही,لا يوجد انبطاح/استلقاء
FM_Q17_A1,Limited pronation/supination,सीमित प्रोनेशन/सुपिनेशन,मर्यादित प्रोनेशन/सुपिनेशन,محدودية الكب/الاستلقاء
FM_Q17_A2,Full pronation/supination,पूर्ण प्रोनेशन/सुपिनेशन,पूर्ण प्रोनेशन/सुपिनेशन,الكب/الاستلقاء الكامل
FM_Q18_Title,Normal Reflex Activity,सामान्य प्रतिवर्ती गतिविधि,सामान्य प्रतिक्षेप क्रिया,النشاط الانعكاسي الطبيعي
FM_Q18_Instruction,"Assessed ONLY if full score of 6 points is achieved in Part IV. Assess biceps, triceps, and finger flexors. Compare with unaffected side. If Part IV score < 6, score this item as 0.","इसका मूल्यांकन केवल तभी किया जाएगा जब भाग IV में पूरे 6 अंक प्राप्त हों। बाइसेप्स, ट्राइसेप्स और उंगलियों की फ्लेक्सर मांसपेशियों का मूल्यांकन करें। अप्रभावित पक्ष से तुलना करें। यदि भाग IV का स्कोर < 6 है, तो इस आइटम को 0 अंक दें।","भाग IV मध्ये ६ गुणांचा पूर्ण स्कोर मिळाल्यासच मूल्यांकन केले जाईल. बायसेप्स, ट्रायसेप्स आणि बोटांच्या फ्लेक्सर स्नायूंचे मूल्यांकन करा. अप्रभावित बाजूशी तुलना करा. जर भाग IV चा स्कोर < ६ असेल, तर या आयटमला ० गुण द्या.",يُقيّم هذا الجزء فقط في حال الحصول على العلامة الكاملة (6 نقاط) في الجزء الرابع. قيّم عضلات الذراعين (العضلة ذات الرأسين والعضلة ثلاثية الرؤوس) وعضلات ثني الأصابع. قارن النتائج بالجانب السليم. إذا كانت نتيجة الجزء الرابع أقل من 6، تُسجّل هذه النقطة بصفر.
FM_Q18_A0,2 of 3 reflexes markedly hyperactive,तीन में से दो प्रतिवर्त क्रियाएं अत्यधिक सक्रिय हैं।,३ पैकी २ प्रतिक्षेप लक्षणीयरीत्या अतिसक्रिय,اثنان من أصل ثلاثة ردود فعل مفرطة النشاط بشكل ملحوظ
FM_Q18_A1,"1 reflex markedly hyperactive, or at least 2 reflexes lively","1 प्रतिवर्त अत्यधिक सक्रिय है, या कम से कम 2 प्रतिवर्त बहुत सक्रिय हैं।","१ प्रतिक्षेप लक्षणीयरीत्या अतिसक्रिय, किंवा किमान २ प्रतिक्षेप सजीव",أحد ردود الفعل مفرط النشاط بشكل ملحوظ، أو على الأقل اثنان من ردود الفعل نشطان
FM_Q18_A2,"Maximum 1 reflex lively, none hyperactive","अधिकतम 1 प्रतिवर्त सक्रिय, कोई अतिसक्रिय नहीं","जास्तीत जास्त १ प्रतिक्षेप सक्रिय, एकही अतिसक्रिय नाही",رد فعل واحد كحد أقصى، حيوي، لا يوجد رد فعل مفرط النشاط
FM_SB_Section,B. Wrist,बी. कलाई,बी. मनगट,ب. المعصم
FM_Q19_Title,Stability at 15° Dorsiflexion (Elbow 90°),15° पृष्ठावर्तन (कोहनी 90°) पर स्थिरता,१५° डॉर्सिफ्लेक्शनवर स्थिरता (कोपर ९०°),الثبات عند ثني القدم بزاوية 15 درجة (الكوع 90 درجة)
FM_Q19_Instruction,Elbow at 90°,कोहनी 90° पर,कोपर ९०° वर,الكوع بزاوية 90 درجة
FM_Q19_A0,Less than 15° active dorsiflexion,15° से कम सक्रिय पृष्ठीय झुकाव,१५° पेक्षा कमी सक्रिय डॉर्सिफ्लेक्शन,أقل من 15 درجة من الانثناء الظهري النشط
FM_Q19_A1,Dorsiflexion 15°,पृष्ठीय झुकाव 15°,डॉर्सिफ्लेक्शन १५°,ثني القدم لأعلى 15 درجة
FM_Q19_A2,Maintains dorsiflexion against resistance,प्रतिरोध के विरुद्ध पृष्ठीय झुकाव बनाए रखता है,प्रतिकाराविरुद्ध डॉर्सिफ्लेक्शन कायम ठेवते,يحافظ على ثني القدم لأعلى ضد المقاومة
FM_Q20_Title,Repeated Dorsiflexion / Volar Flexion (Elbow 90°),बार-बार पृष्ठीय फ्लेक्सन / वोलर फ्लेक्सन (कोहनी 90°),वारंवार कोपर खाली वाकवणे / खाली वाकवणे (कोपर ९०°),ثني القدم المتكرر لأعلى / ثني القدم لأعلى (الكوع 90 درجة)
FM_Q20_Instruction,"Elbow at 90°, forearm pronated, shoulder at 0°, slight finger flexion.","कोहनी 90° पर, अग्रबाहु प्रोनेटेड, कंधा 0° पर, उंगलियों में हल्का सा फ्लेक्सन।","कोपर ९०° वर, हाताचा पुढचा भाग आतल्या बाजूला वळवलेला, खांदा ०° वर, बोटे किंचित वाकलेली.",الكوع بزاوية 90 درجة، والساعد في وضع الكب، والكتف بزاوية 0 درجة، مع ثني طفيف للأصابع.
FM_Q20_A0,Cannot perform volitionally,स्वेच्छा से कार्य नहीं कर सकते,स्वेच्छेने कृती करू शकत नाही,لا يستطيع القيام بذلك بإرادته
FM_Q20_A1,Limited active range of motion,सीमित सक्रिय गति सीमा,हालचालीची मर्यादित श्रेणी,نطاق حركة نشط محدود
FM_Q20_A2,"Full active range of motion, smoothly","गति की पूरी सक्रिय सीमा, सुचारू रूप से","हालचालीची पूर्ण सक्रिय श्रेणी, सहजतेने",نطاق حركة نشط كامل، بسلاسة
FM_Q21_Title,Stability at 15° Dorsiflexion (Elbow Extended),15° डोर्सिफ्लेक्शन (कोहनी सीधी) पर स्थिरता,१५° डॉर्सिफ्लेक्शनवर स्थिरता (कोपर सरळ असताना),الثبات عند ثني القدم بزاوية 15 درجة (مع تمديد الكوع)
FM_Q21_Instruction,"Elbow at 0°, forearm pronated, slight shoulder flexion/abduction.","कोहनी 0° पर, अग्रबाहु प्रोनेटेड, कंधे में हल्का फ्लेक्सन/एबडक्शन।","कोपर ०° वर, हाताचा पुढचा भाग आतल्या बाजूला वळवलेला, खांदा किंचित आत वळलेला/बाहेर उचललेला.",الكوع عند 0 درجة، والساعد في وضع الكب، مع ثني/تبعيد طفيف للكتف.
FM_Q21_A0,Less than 15° active dorsiflexion,15° से कम सक्रिय पृष्ठीय झुकाव,१५° पेक्षा कमी सक्रिय डॉर्सिफ्लेक्शन,أقل من 15 درجة من الانثناء الظهري النشط
FM_Q21_A1,Dorsiflexion 15°,पृष्ठीय झुकाव 15°,डॉर्सिफ्लेक्शन १५°,ثني القدم لأعلى 15 درجة
FM_Q21_A2,Maintains dorsiflexion against resistance,प्रतिरोध के विरुद्ध पृष्ठीय झुकाव बनाए रखता है,प्रतिकाराविरुद्ध डॉर्सिफ्लेक्शन कायम ठेवते,يحافظ على ثني القدم لأعلى ضد المقاومة
FM_Q22_Title,Repeated Dorsiflexion / Volar Flexion (Elbow Extended),बार-बार डोर्सिफ्लेक्शन / वोलर फ्लेक्शन (कोहनी सीधी),वारंवार डॉर्सिफ्लेक्शन / व्होलर फ्लेक्शन (कोपर सरळ ठेवून),ثني القدم المتكرر لأعلى / ثني القدم لأعلى (مع تمديد الكوع)
FM_Q22_Instruction,"Elbow at 0°, forearm pronated, slight shoulder flexion/abduction.","कोहनी 0° पर, अग्रबाहु प्रोनेटेड, कंधे में हल्का फ्लेक्सन/एबडक्शन।","कोपर ०° वर, हाताचा पुढचा भाग आतल्या बाजूला वळवलेला, खांदा किंचित आत वळलेला/बाहेर उचललेला.",الكوع عند 0 درجة، والساعد في وضع الكب، مع ثني/تبعيد طفيف للكتف.
FM_Q22_A0,Cannot perform volitionally,स्वेच्छा से कार्य नहीं कर सकते,स्वेच्छेने कृती करू शकत नाही,لا يستطيع القيام بذلك بإرادته
FM_Q22_A1,Limited active range of motion,सीमित सक्रिय गति सीमा,हालचालीची मर्यादित श्रेणी,نطاق حركة نشط محدود
FM_Q22_A2,"Full active range of motion, smoothly","गति की पूरी सक्रिय सीमा, सुचारू रूप से","हालचालीची पूर्ण सक्रिय श्रेणी, सहजतेने",نطاق حركة نشط كامل، بسلاسة
FM_Q23_Title,Circumduction,पर्यावर्तन,परिभ्रमण,الدوران
FM_Q23_Instruction,"Elbow at 90°, forearm pronated, shoulder at 0°.","कोहनी 90° पर, अग्रबाहु प्रोनेटेड, कंधा 0° पर।","कोपर ९०° वर, हाताचा पुढचा भाग आतल्या बाजूला, खांदा ०° वर.",الكوع بزاوية 90 درجة، والساعد في وضع الكب، والكتف بزاوية 0 درجة.
FM_Q23_A0,Cannot perform volitionally,स्वेच्छा से कार्य नहीं कर सकते,स्वेच्छेने कृती करू शकत नाही,لا يستطيع القيام بذلك بإرادته
FM_Q23_A1,Jerky movement or incomplete,झटकेदार गति या अपूर्ण,धक्क्याची हालचाल किंवा अपूर्ण,حركة متقطعة أو غير مكتملة
FM_Q23_A2,Complete and smooth circumduction,पूर्ण और सुचारू परिधि,पूर्ण आणि सुरळीत प्रदक्षिणा,دوران كامل وسلس
FM_SC_Section,C. Hand,सी. हाथ,सी. हँड,سي. هاند
FM_Q24_Title,Mass Flexion,सामूहिक फ्लेक्सन,मास फ्लेक्शन,ثني العضلات
FM_Q24_Instruction,From full active or passive extension.,पूर्ण सक्रिय या निष्क्रिय विस्तार से।,पूर्ण सक्रिय किंवा निष्क्रिय विस्तारापासून.,من التمدد الكامل النشط أو السلبي.
FM_Q24_A0,None,कोई नहीं,काहीही नाही,لا أحد
FM_Q24_A1,Partial,आंशिक,आंशिक,جزئي
FM_Q24_A2,Full,भरा हुआ,पूर्ण,ممتلىء
FM_Q25_Title,Mass Extension,बड़े पैमाने पर विस्तार,मोठ्या प्रमाणावर विस्तार,تمدد الكتلة
FM_Q25_Instruction,From full active or passive flexion.,पूर्ण सक्रिय या निष्क्रिय फ्लेक्सन से।,पूर्ण सक्रिय किंवा निष्क्रिय वळणापासून.,من الانثناء النشط أو السلبي الكامل.
FM_Q25_A0,None,कोई नहीं,काहीही नाही,لا أحد
FM_Q25_A1,Partial,आंशिक,आंशिक,جزئي
FM_Q25_A2,Full,भरा हुआ,पूर्ण,ممتلىء
FM_Q26_Title,Hook Grasp,हुक ग्रैस्प,हुक पकड,قبضة الخطاف
FM_Q26_Instruction,"Flexion in PIP and DIP (digits II–V), extension in MCP II–V.","पीआईपी और डीआईपी (उंगलियां II-V) में फ्लेक्सन, एमसीपी II-V में एक्सटेंशन।","PIP आणि DIP मध्ये वळण (बोटे II–V), MCP मध्ये ताण II–V.",الانثناء في مفاصل السلاميات القريبة والبعيدة (الأصابع من الثاني إلى الخامس)، والامتداد في مفاصل السلاميات المشطية من الثاني إلى الخامس.
FM_Q26_A0,Cannot be performed,प्रदर्शन नहीं किया जा सकता,करता येणार नाही,لا يمكن تنفيذه
FM_Q26_A1,Can hold position but weak,पद संभाल सकता है लेकिन कमजोर है,स्थिती टिकवून ठेवू शकतो पण कमकुवत आहे,يستطيع الحفاظ على موقعه لكنه ضعيف
FM_Q26_A2,Maintains position against resistance,प्रतिरोध के बावजूद अपनी स्थिति बनाए रखता है,प्रतिकाराविरुद्ध स्थिती टिकवून ठेवते,يحافظ على موقعه في مواجهة المقاومة
FM_Q27_Title,Thumb Adduction,अंगूठे का प्रत्यावर्तन,अंगठ्याचे अ‍ॅडडक्शन,تقريب الإبهام
FM_Q27_Instruction,"1st CMC, MCP, IP at 0°. Scrap of paper between thumb and 2nd MCP joint.","0° पर पहला सीएमसी, एमसीपी, आईपी। अंगूठे और दूसरे एमसीपी जोड़ के बीच कागज का एक टुकड़ा।","पहिला सीएमसी, एमसीपी, आयपी ०° वर. अंगठा आणि दुसऱ्या एमसीपी सांध्यामध्ये कागदाचा तुकडा.",المفصل الأول بين الرسغ المشطي، والمفصل المشطي السلامي، والمفصل بين السلاميات عند 0 درجة. قصاصة ورق بين الإبهام والمفصل المشطي السلامي الثاني.
FM_Q27_A0,Cannot be performed,प्रदर्शन नहीं किया जा सकता,करता येणार नाही,لا يمكن تنفيذه
FM_Q27_A1,Can hold paper but not against tug,कागज को पकड़ सकता है लेकिन खींचने पर नहीं।,कागद धरू शकतो पण ओढीला नाही.,يمكنه تثبيت الورق، لكن ليس في مواجهة الشد.
FM_Q27_A2,Can hold paper against a tug,खींचने पर भी कागज को पकड़ कर रख सकता है,ओढ सहन करू शकते,يمكنه تثبيت الورق في مواجهة الشد
FM_Q28_Title,Pincer Grasp,चिमटा पकड़,चिमटा पकड,قبضة الكماشة
FM_Q28_Instruction,"Pulpa of the thumb against the pulpa of 2nd finger. Pencil, tug upward.",अंगूठे के निचले भाग को दूसरी उंगली के निचले भाग से सटाकर रखें। पेंसिल को ऊपर की ओर खींचें।,अंगठ्याचे टोक दुसऱ्या बोटाच्या टोकावर टेकवा. पेन्सिल वरच्या दिशेने ओढा.,لب الإبهام مقابل لب الإصبع الثاني. قلم رصاص، اسحب لأعلى.
FM_Q28_A0,Cannot be performed,प्रदर्शन नहीं किया जा सकता,करता येणार नाही,لا يمكن تنفيذه
FM_Q28_A1,Can hold pencil but not against tug,पेंसिल को पकड़ सकता है लेकिन खींचने पर नहीं।,पेन्सिल पकडू शकते पण ओढल्यास नाही.,يمكنه حمل القلم لكن ليس في مواجهة الشد
FM_Q28_A2,Can hold pencil against a tug,खींचने पर भी पेंसिल को पकड़ कर रख सकता है,ओढ सहन करू शकते,يمكنه تثبيت القلم في مواجهة الشد
FM_Q29_Title,Cylinder Grasp,सिलेंडर ग्रैस्प,सिलेंडर ग्रॅस्प,قبضة أسطوانية
FM_Q29_Instruction,"Cylinder shaped object (small can). Tug upward, opposition of thumb and fingers.",बेलनाकार वस्तु (छोटा डिब्बा)। अंगूठे और उंगलियों के विपरीत दिशा में ऊपर की ओर खींचें।,दंडगोलाकार वस्तू (लहान डबा). अंगठा आणि बोटांच्या विरुद्ध दिशेने वरच्या बाजूला ओढा.,جسم أسطواني الشكل (علبة صغيرة). اسحب لأعلى، مع تقابل الإبهام والأصابع.
FM_Q29_A0,Cannot be performed,प्रदर्शन नहीं किया जा सकता,करता येणार नाही,لا يمكن تنفيذه
FM_Q29_A1,Can hold cylinder but not against tug,सिलेंडर को पकड़ सकता है लेकिन खींचने के खिलाफ नहीं।,"सिलेंडर धरून ठेवू शकतो, पण ओढीच्या विरुद्ध नाही.",يمكنه تثبيت الأسطوانة، لكن ليس في مواجهة السحب.
FM_Q29_A2,Can hold cylinder against a tug,सिलेंडर को खींचने पर भी रोक सकता है,सिलेंडरला ओढीविरुद्ध धरून ठेवू शकते,يمكنه تثبيت الأسطوانة في مواجهة قوة السحب
FM_Q30_Title,Spherical Grasp,गोलाकार पकड़,गोलाकार पकड,قبضة كروية
FM_Q30_Instruction,"Fingers in abduction/flexion, thumb opposed. Tennis ball, tug away.","उंगलियां फैली हुई/मुड़ी हुई स्थिति में, अंगूठा विपरीत दिशा में। टेनिस बॉल, खींचो।","बोटे बाजूला/वाकवून, अंगठा विरुद्ध दिशेला. टेनिस बॉल, जोरात ओढा.",الأصابع في وضع التباعد/الانثناء، والإبهام في وضع متقابل. كرة تنس، اسحبها للخارج.
