Key,English,Hindi,Marathi,Arabic
MB_Q2_A2,Maximum height for 3 seconds.,अधिकतम ऊंचाई 3 सेकंड के लिए।,३ सेकंदांसाठी कमाल उंची.,أقصى ارتفاع لمدة 3 ثوانٍ.
MB_Q3_Title,3. Stand on One Leg,3. एक पैर पर खड़े हो जाएं,३. एका पायावर उभे राहा,3. الوقوف على ساق واحدة
MB_Q3_Instruction,Stand on one leg. Score the worse side.,एक पैर पर खड़े हो जाओ। सबसे खराब पक्ष को स्कोर करो।,एका पायावर उभे राहा. खराब बाजूला गुण मिळवा.,قف على ساق واحدة. سجّل النتيجة على الجانب الأضعف.
MB_Q3_A0,Unable.,असमर्थ।,असमर्थ.,غير قادر.
MB_Q3_A1,Less than 20 seconds.,20 सेकंड से भी कम।,२० सेकंदांपेक्षा कमी.,أقل من 20 ثانية.
MB_Q3_A2,20 seconds.,20 सेकंड।,२० सेकंद.,20 ثانية.
MB_S2_Section,REACTIVE POSTURAL CONTROL,प्रतिक्रियाशील मुद्रा नियंत्रण,प्रतिक्रियात्मक शारीरिक स्थिती नियंत्रण,التحكم الوضعي التفاعلي
MB_Q4_Title,4. Forward Stepping Correction,4. आगे बढ़ने में सुधार,४. पुढे पाऊल टाकण्याची सुधारणा,4. تصحيح الخطوة الأمامية
MB_Q4_Instruction,Lean forward. Recover after release.,आगे की ओर झुकें। छोड़ने के बाद वापस सामान्य स्थिति में आ जाएं।,पुढे झुका. सुटल्यानंतर सावरा.,انحنِ للأمام. استعد بعد الإفلات.
MB_Q4_A0,Falls or no step.,गिरने का खतरा हो या सीढ़ी न हो।,पडण्याची शक्यता किंवा पायरी नसणे.,السقوط أو عدم وجود درج.
MB_Q4_A1,More than one recovery step.,एक से अधिक रिकवरी चरण।,एकापेक्षा जास्त पुनर्प्राप्तीचे टप्पे.,أكثر من خطوة تعافي واحدة.
MB_Q4_A2,Single recovery step.,एकल पुनर्प्राप्ति चरण।,एकच पुनर्प्राप्ती पायरी.,خطوة تعافي واحدة.
MB_Q5_Title,5. Backward Stepping Correction,5. पीछे की ओर कदम बढ़ाने में सुधार,५. मागे पाऊल टाकण्याची सुधारणा,5. تصحيح الخطوات للخلف
MB_Q5_Instruction,Lean backward. Recover after release.,पीछे की ओर झुकें। छोड़ने के बाद वापस सामान्य स्थिति में आ जाएं।,मागे झुका. सोडल्यावर पुन्हा पूर्ववत व्हा.,انحنِ للخلف. استعد بعد الإفلات.
MB_Q5_A0,Falls or no step.,गिरने का खतरा हो या सीढ़ी न हो।,पडण्याची शक्यता किंवा पायरी नसणे.,السقوط أو عدم وجود درج.
MB_Q5_A1,More than one recovery step.,एक से अधिक रिकवरी चरण।,एकापेक्षा जास्त पुनर्प्राप्तीचे टप्पे.,أكثر من خطوة تعافي واحدة.
MB_Q5_A2,Single recovery step.,एकल पुनर्प्राप्ति चरण।,एकच पुनर्प्राप्ती पायरी.,خطوة تعافي واحدة.
MB_Q6_Title,6. Lateral Stepping Correction,6. पार्श्व कदम सुधार,६. बाजूकडील पाऊल टाकण्याचे सुधारणे,6. تصحيح الخطوات الجانبية
MB_Q6_Instruction,Lean sideways. Score the worse side.,एक तरफ झुकें। कमजोर पक्ष पर स्कोर करें।,एका बाजूला झुका. खराब बाजूला गुण मिळवा.,انحني جانبًا. سجّل على الجانب الأضعف.
MB_Q6_A0,Falls or cannot step.,गिर जाता है या चलने में असमर्थ होता है।,पडतो किंवा पाऊल टाकता येत नाही.,يسقط أو لا يستطيع المشي.
MB_Q6_A1,Several recovery steps.,कई पुनर्प्राप्ति चरण।,पुनर्प्राप्तीचे अनेक उपाय.,عدة خطوات للتعافي.
MB_Q6_A2,One recovery step.,एक सुधार का कदम।,पुनर्प्राप्तीचा एक टप्पा.,خطوة واحدة للتعافي.
MB_S3_Section,SENSORY ORIENTATION,संवेदी अभिविन्यास,संवेदी अभिमुखता,التوجه الحسي
MB_Q7_Title,7. Feet Together Eyes Open,"7. पैर एक साथ, आंखें खुली",७. पाय जुळवून डोळे उघडे ठेवा,7. القدمان متلاصقتان والعينان مفتوحتان
MB_Q7_Instruction,Stand for 30 seconds.,30 सेकंड तक खड़े रहें।,तीस सेकंद उभे रहा.,قف لمدة 30 ثانية.
MB_Q7_A0,Unable.,असमर्थ।,असमर्थ.,غير قادر.
MB_Q7_A1,Less than 30 seconds.,30 सेकंड से भी कम।,तीस सेकंदांपेक्षा कमी.,أقل من 30 ثانية.
MB_Q7_A2,30 seconds.,30 सेकंड।,३० सेकंद.,30 ثانية.
MB_Q8_Title,8. Eyes Closed on Foam,8. झाग पर आंखें बंद करके बैठें,८. फोमवर डोळे मिटून घेणे,8. عيون مغلقة على رغوة
MB_Q8_Instruction,Stand for 30 seconds.,30 सेकंड तक खड़े रहें।,तीस सेकंद उभे रहा.,قف لمدة 30 ثانية.
MB_Q8_A0,Unable.,असमर्थ।,असमर्थ.,غير قادر.
MB_Q8_A1,Less than 30 seconds.,30 सेकंड से भी कम।,तीस सेकंदांपेक्षा कमी.,أقل من 30 ثانية.
MB_Q8_A2,30 seconds.,30 सेकंड।,३० सेकंद.,30 ثانية.
MB_Q9_Title,9. Incline Eyes Closed,9. आंखें बंद करके झुकें,९. डोळे मिटून झुका,9. مائل مع إغلاق العينين
MB_Q9_Instruction,Stand on incline with eyes closed.,आंखें बंद करके ढलान पर खड़े हो जाएं।,डोळे मिटून उतारावर उभे राहा.,قف على سطح مائل وعيناك مغمضتان.
MB_Q9_A0,Unable.,असमर्थ।,असमर्थ.,غير قادر.
MB_Q9_A1,Independent but less than 30 seconds.,"स्वतंत्र, लेकिन 30 सेकंड से भी कम समय का।",स्वतंत्र पण ३० सेकंदांपेक्षा कमी.,مستقلة ولكن أقل من 30 ثانية.
MB_Q9_A2,30 seconds with gravity alignment.,गुरुत्वाकर्षण संरेखण के साथ 30 सेकंड।,गुरुत्वाकर्षण संरेखनासह ३० सेकंद.,30 ثانية مع محاذاة الجاذبية.
MB_S4_Section,DYNAMIC GAIT,गतिशील चाल,गतिमान चाल,المشية الديناميكية
MB_Q10_Title,10. Change Gait Speed,10. चलने की गति बदलें,१०. चालण्याची गती बदला,10. تغيير سرعة المشي
MB_Q10_Instruction,Walk normal,सामान्य रूप से चलें,सामान्यपणे चाला,امشِ بشكل طبيعي
MB_Q10_A0,Cannot change speed.,गति नहीं बदली जा सकती।,वेग बदलता येत नाही.,لا يمكن تغيير السرعة.
MB_Q10_A1,Changes with imbalance.,असंतुलन के साथ परिवर्तन होते हैं।,असंतुलनामुळे होणारे बदल.,التغيرات المصاحبة للاختلال.
MB_Q10_A2,Changes speed normally.,गति सामान्य रूप से बदलती है।,वेग सामान्यपणे बदलतो.,يغير السرعة بشكل طبيعي.
MB_Q11_Title,11. Walk with Head Turns,11. सिर घुमाते हुए चलें,११. मान वळवून चाला,11. المشي مع تحريك الرأس
MB_Q11_Instruction,Walk while turning head.,चलते समय सिर घुमाएं।,मान वळवत चाला.,امشِ وأنت تلتفت إلى رأسك.
MB_Q11_A0,Imbalance.,असंतुलन।,असंतुलन.,عدم التوازن.
MB_Q11_A1,Reduced gait speed.,चलने की गति धीमी हो गई है।,चालण्याचा वेग कमी झाला.,انخفاض سرعة المشي.
MB_Q11_A2,Normal.,सामान्य।,सामान्य.,طبيعي.
MB_Q12_Title,12. Pivot Turn,12. धुरी मोड़,१२. पिव्होट टर्न,12. الدوران المحوري
MB_Q12_Instruction,Turn quickly and stop.,तेजी से मुड़ें और रुकें।,पटकन वळून थांबा.,انعطف بسرعة وتوقف.
MB_Q12_A0,Cannot turn safely.,सुरक्षित रूप से मुड़ना संभव नहीं है।,सुरक्षितपणे वळता येत नाही.,لا يمكن الانعطاف بأمان.
MB_Q12_A1,Turns slowly.,धीरे-धीरे घूमता है।,हळू हळू वळते.,يدور ببطء.
MB_Q12_A2,Turns quickly.,तेजी से मुड़ता है।,वेगाने वळते.,ينعطف بسرعة.
MB_Q13_Title,13. Step Over Obstacle,13. बाधा के ऊपर से कदम रखें,१३. अडथळ्यावरून उडी मारा,13. تجاوز العائق
MB_Q13_Instruction,Step over obstacle.,बाधा को पार करें।,अडथळ्यावरून उडी मारा.,تجاوز العائق.
MB_Q13_A0,Cannot step over.,ऊपर से नहीं जा सकते।,ओलांडून जाता येत नाही.,لا يمكن تجاوزه.
MB_Q13_A1,Touches obstacle.,बाधा को छूता है।,अडथळ्याला स्पर्श करतो.,يلمس العائق.
MB_Q13_A2,Steps over normally.,सामान्य रूप से कदम रखता है।,सामान्यपणे ओलांडतो.,يخطو بشكل طبيعي.
MB_Q14_Title,14. Timed Up and Go Dual Task,14. समयबद्ध अप एंड गो ड्यूल टास्क,१४. टाइम अप अँड गो ड्युअल टास्क,14. مهمة مزدوجة مؤقتة للنهوض والانطلاق
MB_Q14_Instruction,Walk while counting backwards.,उल्टी गिनती गिनते हुए चलें।,उलट्या क्रमाने मोजत चाला.,امشِ وأنت تعد تنازلياً.
MB_Q14_A0,Stops walking or counting.,चलना या गिनना बंद कर देता है।,चालणे किंवा मोजणे थांबवते.,يتوقف عن المشي أو العد.
MB_Q14_A1,Dual task affects walking or counting.,दोहरे कार्य से चलने या गिनने की क्षमता प्रभावित होती है।,दुहेरी कार्याचा परिणाम चालण्यावर किंवा मोजण्यावर होतो.,يؤثر القيام بمهمتين في آن واحد على المشي أو العد.
MB_Q14_A2,No noticeable change.,कोई खास बदलाव नहीं हुआ।,कोणताही लक्षणीय बदल नाही.,لا يوجد تغيير ملحوظ.
